Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,classe_real,classe_predita,prob_Benign,prob_Malicious
23.2,6,80.1,116.2317483102725,0.0,0.2,0.0,0.2,0.5,0.2,0.1,5,2,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.1,0.0,1.0,1.0,1936,66,364,193.6,123.59629624080344,193.6,0.0101361989974975,10,15276.044444444447,Benign,Benign,0.517589807510376,0.48241016268730164
9.92,6,67.18,1771.3554490360457,0.0,0.01,0.0,0.0,0.48,0.0,0.0,48,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.01,0.0,0.01,0.0,0.0,0.99,0.99,91332,60,1514,913.32,581.8551466792843,913.32,0.0005645489692687,100,338555.4117171715,Malicious,Malicious,0.0,1.0
32.0,6,87.6,17182.728390004097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6244,66,1462,624.4,720.8913001740739,624.4,5.841255187988281e-05,10,519684.2666666666,Benign,Benign,1.0,1.9915050941676782e-08
13.52,6,65.91,1834.626168428696,0.0,0.0,0.32,0.01,0.35,0.0,0.0,35,0,0,32,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64411,60,1514,644.11,626.8853244414006,644.11,0.0005450797080993,100,392985.2100000001,Malicious,Malicious,0.0,1.0
10.0,6,64.59,3902.7672838931794,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92946,60,1514,929.46,576.6974491696557,929.46,0.0002562403678894,100,332579.9478787876,Malicious,Malicious,0.0,1.0
26.0,6,85.1,177.2762968254035,0.1,0.1,0.0,0.2,0.8,0.0,0.0,8,1,1,0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,945,60,191,94.5,48.36493219954585,94.5,0.0064471006393432,10,2339.1666666666665,Benign,Benign,0.9999997615814209,2.5143768311863823e-07
32.0,6,79.4,85.53223336331027,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10372,66,1514,1037.2,682.845809828251,1037.2,0.0117094993591308,10,466278.4,Benign,Benign,0.9979147911071777,0.0020852177403867245
17.4,6,64.0,23363.992869875223,0.0,0.0,0.75,0.0,0.12,0.0,0.0,12,0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27530,60,1514,275.3,471.5730285036679,275.3,4.281044006347656e-05,100,222381.1212121212,Malicious,Malicious,0.0,1.0
25.6,6,96.8,154.54325718496685,0.0,0.1,0.0,0.4,0.7,0.0,0.0,7,1,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1394,66,317,139.4,84.21559633860385,139.4,0.0064835786819458,10,7092.266666666666,Benign,Benign,0.986474871635437,0.013525139540433884
11.24,6,68.04,2222.5717222887542,0.0,0.01,0.0,0.0,0.53,0.0,0.0,53,1,0,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.01,0.0,0.0,0.99,0.99,88812,60,1514,888.12,597.3068730611265,888.12,0.0004524898529052,100,356775.5006060606,Malicious,Malicious,0.0,1.0
10.0,6,65.27,3419.1487800702694,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.01,0.0,0.0,0.99,0.99,92632,60,1514,926.32,580.5940336579355,926.32,0.0002924799919128,100,337089.431919192,Malicious,Malicious,0.0,1.0
10.08,6,63.82,1454.4869438568503,0.0,0.01,0.0,0.0,0.49,0.0,0.0,49,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.49,0.01,0.0,0.02,0.0,0.0,0.98,0.98,91035,60,1514,910.35,585.3903881732747,910.35,0.0006904482841491,100,342681.90656565723,Malicious,Malicious,0.0,1.0
10.24,6,67.82,3436.433054221902,0.0,0.01,0.0,0.01,0.5,0.0,0.0,50,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92693,60,1514,926.93,579.7060079527946,926.93,0.0002910089492797,100,336059.0556565656,Malicious,Malicious,0.0,1.0
7.2,17,83.1,85.23189156785645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,860,60,214,86.0,52.58432381528844,86.0,0.0122042894363403,10,2765.111111111112,Benign,Benign,0.9889513850212097,0.011048621498048306
29.6,6,145.7,416.9412606737776,0.2,0.0,0.0,0.0,0.9,0.0,0.0,9,0,2,0,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,664,66,70,66.4,1.2649110640673518,66.4,0.0024636983871459,10,1.6,Benign,Benign,0.996666669845581,0.003333335742354393
24.0,6,59.7,932.2332859174963,0.1,0.0,0.0,0.2,0.7,0.0,0.0,7,0,1,0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,8188,60,2962,818.8,990.1400349894398,818.8,0.001087999343872,10,980377.2888888888,Benign,Benign,0.993328869342804,0.006671143230050802
10.0,6,64.0,3732.317713431455,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,94400,374,1514,944.0,572.8715546977509,944.0,0.0002698588371276,100,328181.8181818182,Malicious,Malicious,0.0,1.0
32.0,6,64.0,6472.691358024691,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15140,1514,1514,1514.0,0.0,1514.0,0.0001720905303955,10,0.0,Malicious,Malicious,0.0,1.0
10.04,6,65.91,2819.112655513809,0.0,0.0,0.02,0.0,0.47,0.0,0.0,47,0,0,2,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.49,0.03,0.0,0.0,0.01,0.0,1.0,1.0,89207,60,1514,892.07,592.6039653064848,892.07,0.0003575110435485,100,351179.45969696954,Malicious,Malicious,0.0,1.0
14.0,17,103.6,117.54315067917304,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,677,60,105,67.7,15.4348091447006,67.7,0.008823013305664,10,238.2333333333333,Benign,Benign,0.9838438034057617,0.016156207770109177
14.4,17,104.3,93.8482605543672,0.1,0.0,0.0,0.1,0.3,0.0,0.0,3,0,1,0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,1.0,1.0,1021,60,230,102.1,64.74986057471047,102.1,0.0114619970321655,10,4192.544444444445,Benign,Benign,0.9748643636703491,0.02513566054403782
15.2,17,82.3,79.2871104457072,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,878,60,230,87.8,58.17559625822497,87.8,0.0133093833923339,10,3384.4,Benign,Benign,0.9945496916770935,0.0054503269493579865
10.12,6,65.71,1987.0401690330343,0.0,0.01,0.0,0.0,0.5,0.0,0.0,50,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92952,66,1514,929.52,576.6063811543186,929.52,0.0005032706260681,100,332474.91878787935,Malicious,Malicious,0.0,1.0
22.8,6,85.3,170.93166081857046,0.1,0.0,0.0,0.0,0.7,0.0,0.0,7,0,1,0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,1.0,1.0,6776,60,2962,677.6,995.2557683552728,677.6,0.0062321901321411,10,990534.0444444444,Benign,Benign,0.9871795773506165,0.012820445001125336
10.28,6,67.18,1364.2009399749556,0.0,0.0,0.02,0.0,0.49,0.0,0.0,49,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.01,0.0,0.01,0.0,0.0,0.99,0.99,90704,60,1514,907.04,589.3638056018841,907.04,0.0007355999946594,100,347349.6953535354,Malicious,Malicious,0.0,1.0
24.8,6,119.7,94.161976494887,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,7096,66,2588,709.6,861.0545472461854,709.6,0.0112818956375122,10,741414.9333333333,Benign,Benign,0.9866665601730347,0.013333449140191078
32.0,6,209.4,445.6525989204811,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,687,66,93,68.7,8.538149682454623,68.7,0.002845811843872,10,72.89999999999999,Benign,Benign,0.9999796748161316,2.0297673472668976e-05
33.2,6,80.7,1157.2728526887952,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9534,66,1514,953.4,725.4007627971359,953.4,0.0008758068084716,10,526206.2666666667,Benign,Benign,0.99952232837677,0.0004776724672410637
9.76,6,65.5,929.1603161663064,0.0,0.01,0.0,0.01,0.48,0.0,0.0,48,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.03,0.03,0.0,0.97,0.97,87629,60,1514,876.29,596.2095471739904,876.29,0.0010762500762939,100,355465.8241414146,Malicious,Malicious,0.0,1.0
11.28,6,65.46,1105.3495144351768,0.0,0.01,0.0,0.01,0.53,0.0,0.0,53,1,0,0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,1.0,1.0,89651,60,1514,896.51,588.5815768661664,896.51,0.0009047102928161,100,346428.272626263,Malicious,Malicious,0.0,1.0
12.8,17,68.9,143.5358454278215,0.1,0.0,0.0,0.0,0.3,0.0,0.0,3,0,1,0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.2,0.1,0.0,0.8,0.8,928,60,214,92.8,46.71616422610058,92.8,0.0146819114685058,10,2182.4,Benign,Benign,0.9749979972839355,0.02500203065574169
13.28,6,66.5,414.3791185449372,0.0,0.01,0.25,0.03,0.37,0.0,0.0,37,1,0,25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.62,0.01,0.0,0.04,0.01,0.0,0.96,0.96,63355,60,1514,633.55,620.7060882412851,633.55,0.0024250102043151,100,385276.047979798,Malicious,Malicious,0.0,1.0
29.6,6,183.3,2026.723363131191,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,5240,66,1514,524.0,687.0361465502865,524.0,0.0005407094955444,10,472018.6666666667,Benign,Benign,0.9966282248497009,0.0033717816695570946
32.0,6,164.4,217.48033537454825,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1118,66,242,111.8,76.16619255869948,111.8,0.0045982122421264,10,5801.288888888888,Benign,Benign,0.9542447924613953,0.04575520008802414
20.8,6,156.2,176.84427110783176,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,987,60,291,98.7,73.36522034012818,98.7,0.0056547880172729,10,5382.455555555556,Benign,Benign,0.9648386240005493,0.035161394625902176
9.8,6,64.0,5004.538837847512,0.0,0.0,0.0,0.0,0.49,0.0,0.0,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.0,1.0,93260,374,1514,932.6,572.7569689270888,932.6,0.0001998400688171,100,328050.5454545461,Malicious,Malicious,0.0,1.0
5.6,0,63.2,73.13635261930877,0.1,0.0,0.0,0.0,0.1,0.0,0.0,1,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.3,0.3,0.0,0.7,0.7,1822,60,373,182.2,155.7396688209027,182.2,0.0139782905578613,10,24254.844444444447,Benign,Benign,0.8332695364952087,0.16673044860363007
32.0,6,148.0,2912.104422689717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9348,66,2962,934.8,1012.4501414335864,934.8,0.0003776788711547,10,1025055.288888889,Benign,Benign,0.9998380541801453,0.0001619700633455068
26.4,6,49.6,107.97733515599457,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,6480,60,1494,648.0,728.471001481871,648.0,0.0093265056610107,10,530670.0,Benign,Benign,0.9642922282218933,0.035707760602235794
9.96,6,64.0,765.743058332101,0.0,0.0,0.0,0.0,0.49,0.0,0.0,49,0,0,0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.49,0.02,0.0,0.0,0.0,0.0,1.0,1.0,91256,60,1514,912.56,582.8002641375414,912.56,0.001307189464569,100,339656.14787878795,Malicious,Malicious,0.0,1.0
9.8,6,63.36,2187.0393158827824,0.0,0.0,0.0,0.0,0.49,0.0,0.0,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.01,0.0,0.0,0.99,0.99,92946,60,1514,929.46,576.6974491696557,929.46,0.0004572486877441,100,332579.9478787875,Malicious,Malicious,0.0,1.0
11.0,6,67.44,1718.0968766001024,0.0,0.0,0.0,0.01,0.52,0.0,0.0,52,0,0,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92649,78,1514,926.49,580.2426607493935,926.49,0.0005820512771606,100,336681.5453535358,Malicious,Malicious,0.0,1.0
27.2,6,68.4,281.0800088459399,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2956,66,2086,295.6,630.4508439733162,295.6,0.0041393995285034,10,397468.2666666667,Benign,Benign,0.9571100473403931,0.042889975011348724
21.6,6,80.7,102.11479656428337,0.1,0.1,0.0,0.2,0.5,0.0,0.0,5,1,1,0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.1,0.1,0.0,0.9,0.9,1030,60,204,103.0,52.21749387577564,103.0,0.0098965883255004,10,2726.6666666666665,Benign,Benign,0.9963177442550659,0.00368223013356328
29.6,6,154.0,105.87612835477292,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,966,66,262,96.6,64.59480543270404,96.6,0.0094450950622558,10,4172.48888888889,Benign,Benign,0.9998844265937805,0.00011557094694580883
22.4,6,80.8,326.71262433887165,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,6718,60,1514,671.8,730.3822134867318,671.8,0.0031035900115966,10,533458.1777777778,Benign,Benign,0.9998939633369446,0.00010601057874737307
10.0,6,63.36,2346.043785168529,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.01,0.0,0.0,0.99,0.99,94086,60,1514,940.86,576.873934025083,940.86,0.000427029132843,100,332783.5357575758,Malicious,Malicious,0.0,1.0
10.8,6,65.39,623.718005912549,0.0,0.0,0.0,0.03,0.5,0.0,0.0,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.0,0.02,0.0,0.0,0.98,0.98,86358,60,1514,863.58,595.980851499052,863.58,0.0016086196899414,100,355193.1753535351,Malicious,Malicious,0.0,1.0
15.2,6,121.2,40.682966479238544,0.0,0.0,0.0,0.4,0.5,0.0,0.0,5,0,0,0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.2,0.1,0.0,0.8,0.8,1036,60,230,103.6,50.642976917941056,103.6,0.0260313034057617,10,2564.7111111111108,Benign,Benign,0.9317578077316284,0.06824216991662979
10.52,6,65.04,2012.3901278163744,0.01,0.02,0.0,0.0,0.5,0.0,0.0,50,2,1,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.01,0.0,0.0,0.99,0.99,90882,60,1514,908.82,587.4182578852736,908.82,0.0004969215393066,100,345060.2096969699,Malicious,Malicious,0.0,1.0
32.0,6,63.6,165.7794905239027,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32622,66,7306,3262.2,2947.142412575273,3262.2,0.0063574075698852,10,8685648.399999999,Benign,Benign,0.9943496584892273,0.005650336854159832
32.0,6,215.2,430.0703402169678,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,750,66,156,75.0,28.46049894151541,75.0,0.0023612976074218,10,810.0,Benign,Benign,0.9999707937240601,2.9217095288913697e-05
27.2,6,110.3,475.1029654969303,0.0,0.1,0.0,0.0,0.7,0.0,0.0,7,1,0,0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,10946,60,4410,1094.6,1362.146035571158,1094.6,0.0023578166961669,10,1855441.8222222216,Benign,Benign,0.9999996423721313,3.6422048310669197e-07
17.16,6,111.27,63.35818131392383,0.0,0.02,0.0,0.23,0.48,0.0,0.0,48,2,0,0,0.0,0.3,0.26,0.0,0.0,0.0,0.0,0.49,0.33,0.0,0.16,0.02,0.0,0.84,0.84,22586,60,2962,225.86,419.3213858682437,225.86,0.0162129497528076,100,175830.42464646455,Malicious,Malicious,0.006666660308837891,0.9933333396911621
9.92,6,65.91,3097.896478373907,0.0,0.01,0.0,0.0,0.48,0.0,0.0,48,1,0,0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.49,0.01,0.0,0.01,0.0,0.0,0.99,0.99,91357,60,1514,913.57,581.5569359899164,913.57,0.0003641700744628,100,338208.4697979797,Malicious,Malicious,0.0,1.0
32.0,6,80.7,410.2209398992616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25276,66,7306,2527.6,2269.0467504120656,2527.6,0.0024377107620239,10,5148573.155555555,Benign,Benign,0.9967588186264038,0.003241164144128561
9.68,6,62.72,2680.1692077651537,0.0,0.0,0.0,0.0,0.48,0.0,0.0,48,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.48,0.01,0.0,0.02,0.0,0.0,0.98,0.98,91225,60,1514,912.25,583.2508578058956,912.25,0.0003731203079223,100,340181.5631313132,Malicious,Malicious,0.0,1.0
10.08,6,64.0,2403.612607449857,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,1.0,1.0,94099,73,1514,940.99,576.6748553456089,940.99,0.0004160499572753,100,332553.88878787897,Malicious,Malicious,0.0,1.0
10.24,6,61.65,1269.485523344855,0.0,0.0,0.0,0.03,0.5,0.0,0.0,50,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.03,0.0,0.0,0.97,0.97,89279,60,1514,892.79,591.6483786332844,892.79,0.0007917118072509,100,350047.8039393944,Malicious,Malicious,0.0,1.0
25.2,6,68.6,190.91225227357555,0.1,0.0,0.0,0.3,0.8,0.0,0.0,8,0,1,0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.1,0.0,1.0,1.0,6740,66,1514,674.0,712.0174779377883,674.0,0.0052380084991455,10,506968.8888888889,Benign,Benign,0.9977366328239441,0.0022633878979831934
9.8,6,63.36,2624.326759435379,0.0,0.0,0.0,0.0,0.49,0.0,0.0,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.01,0.0,0.0,0.99,0.99,92946,60,1514,929.46,576.6974491696557,929.46,0.0003830599784851,100,332579.9478787876,Malicious,Malicious,0.0,1.0
10.04,6,69.23,1686.5998616718405,0.0,0.01,0.0,0.0,0.47,0.0,0.0,47,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.47,0.04,0.0,0.02,0.01,0.0,0.98,0.98,86452,60,1514,864.52,595.0641673234267,864.52,0.0005959296226501,100,354101.36323232314,Malicious,Malicious,0.0,1.0
14.4,17,66.4,97.35403755541628,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.3,0.6,0.1,0.0,0.1,0.0,1.0,1.0,1304,66,344,130.4,95.84037655277538,130.4,0.0193454027175903,10,9185.377777777778,Benign,Benign,0.9792786836624146,0.020721303299069405
9.92,6,63.53,698.8421787500063,0.0,0.03,0.0,0.0,0.48,0.0,0.0,48,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.03,0.0,0.0,0.97,0.97,87956,60,1514,879.56,593.0070999626067,879.56,0.001432340145111,100,351657.4206060611,Malicious,Malicious,0.0,1.0
22.4,6,154.4,412.1315502451582,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,760,60,156,76.0,29.79932885150268,76.0,0.0024265050888061,10,888.0,Benign,Benign,0.9998869895935059,0.00011300980258965865
